rank, song, artist
The Box,Roddy Ricch,1
Life Is Good,Future Featuring Drake,2
Circles,Post Malone,3
Memories,Maroon 5,4
Someone You Loved,Lewis Capaldi,5
10,000 Hours,Dan + Shay & Justin Bieber,6
Dance Monkey,Tones And I,7
Roxanne,Arizona Zervas,8
Don't Start Now,Dua Lipa,9
everything i wanted,Billie Eilish,10
Lose You To Love Me,Selena Gomez,11
Godzilla,Eminem Featuring Juice WRLD,12
Good As Hell,Lizzo,13
BOP,DaBaby,14
Yummy,Justin Bieber,15
Ballin',Mustard & Roddy Ricch,16
Bad Guy,Billie Eilish,17
Blinding Lights,The Weeknd,18
Heartless,The Weeknd,19
HIGHEST IN THE ROOM,Travis Scott,20
The Bones,Maren Morris,21
High Fashion,Roddy Ricch Featuring Mustard,22
Hot Girl Bummer,blackbear,23
No Guidance,Chris Brown Featuring Drake,24
Woah,Lil Baby,25
Senorita,Shawn Mendes & Camila Cabello,26
Trampoline,SHAED,27
You should be sad,Halsey,28
Adore You,Harry Styles,29
What A Man Gotta Do,Jonas Brothers,30
B.I.T.C.H.,Megan Thee Stallion,31
Truth Hurts,Lizzo,32
Falling,Trevor Daniel,33
Anyone,Demi Lovato,34
My Oh My,Camila Cabello Featuring DaBaby,35
Suicidal,YNW Melly,36
Only Human,Jonas Brothers,37
Sum 2 Prove,Lil Baby,38
Sucker,Jonas Brothers,39
One Man Band,Old Dominion,40
Even Though I'm Leaving,Luke Combs,41
Heartache Medication,Jon Pardi,42
Nobody But You,Blake Shelton Duet With Gwen Stefani,43
I Don't Care,Ed Sheeran & Justin Bieber,44
Hot,Young Thug Featuring Gunna,45
Kinfolks,Sam Hunt,46
Bandit,Juice WRLD & YoungBoy Never Broke Again,47
Juicy,Doja Cat & Tyga,48
Panini,Lil Nas X,49
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,50
Tusa,Karol G & Nicki Minaj,51
Homesick,Kane Brown,52
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,53
Good News,Mac Miller,54
P*$$y Fairy (OTW),Jhene Aiko,55
I Hope,Gabby Barrett,56
Slide,H.E.R. Featuring YG,57
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,58
Heart On Ice,Rod Wave,59
Futsal Shuffle 2020,Lil Uzi Vert,60
VIBEZ,DaBaby,61
BEST ON EARTH,Russ & BIA,62
OUT WEST,JACKBOYS Featuring Young Thug,63
Graveyard,Halsey,64
What She Wants Tonight,Luke Bryan,65
No Idea,Don Toliver,66
Ridin' Roads,Dustin Lynch,67
More Hearts Than Mine,Ingrid Andress,68
SUGAR,BrockHampton,69
I Wish Grandpas Never Died,Riley Green,70
Start Wit Me,Roddy Ricch & Gunna,71
Make Me Want To,Jimmie Allen,72
Say So,Doja Cat,73
We Back,Jason Aldean,74
I Hope You're Happy Now,Carly Pearce & Lee Brice,75
homecoming queen?,Kelsea Ballerini,76
U Played,MoneyBagg Yo Featuring Lil Baby,77
Blue World,Mac Miller,78
Make No Sense,YoungBoy Never Broke Again,79
Letter To Nipsey,Meek Mill Featuring Roddy Ricch,80
Jerry Sprunger,Tory Lanez & T-Pain,81
Chasin' You,Morgan Wallen,82
Rare,Selena Gomez,83
Slow Dance In A Parking Lot,Jordan Davis,84
Before You Go,Lewis Capaldi,85
Those Kinda Nights,Eminem Featuring Ed Sheeran,86
Vete,Bad Bunny,87
Homemade,Jake Owen,88
Easy,DaniLeigh Featuring Chris Brown,89
Come Thru,Summer Walker & Usher,90
Darkness,Eminem,91
Camelot,NLE Choppa,92
Underdog,Alicia Keys,93
First Man,Camila Cabello,94
What If I Told You That I Love You,Ali Gatie,95
Catch,Brett Young,96
Unaccommodating,Eminem Featuring Young M.A,97
July,Noah Cyrus Featuring Leon Bridges,98
You Gon' Learn,Eminem Featuring Royce da 5'9" & White Gold,99
Dive Bar,Garth Brooks & Blake Shelton,100
